Fecha,Rango edad,Número de hombres,Número mujeres
['15/11/2010 07:00:06'],25-29,3134,3415
['15/11/2010 07:00:06'],30-34,4082,4352
['15/11/2010 07:00:06'],35-39,4109,4103
['15/11/2010 07:00:06'],40-44,3504,3545
['15/11/2010 07:00:06'],45-49,2935,3136
['15/11/2010 07:00:06'],50-54,2508,2805
['15/11/2010 07:00:06'],55-59,2206,2492
['15/11/2010 07:00:06'],60-64,2074,2040
['15/11/2010 07:00:06'],65-69,1425,1462
['15/11/2010 07:00:06'],70-74,934,968
['15/11/2010 07:00:06'],75-79,681,844
['15/11/2010 07:00:06'],80-84,394,613
['15/11/2010 07:00:06'],85-89,188,381
['15/11/2010 07:00:06'],90-94,49,160
['15/11/2010 07:00:06'],95-99,16,64
['15/11/2010 07:00:06'],100-104,0,8
['09/11/2010 09:00:56'],0-4,2514,2318
['09/11/2010 09:00:56'],5-9,2323,2185
['09/11/2010 09:00:56'],10-14,2130,2022
['09/11/2010 09:00:56'],15-19,1945,1846
['09/11/2010 09:00:56'],20-24,2325,2334
['09/11/2010 09:00:56'],25-29,3139,3419
['09/11/2010 09:00:56'],30-34,4084,4354
['09/11/2010 09:00:56'],35-39,4110,4113
['09/11/2010 09:00:56'],40-44,3508,3549
['09/11/2010 09:00:56'],45-49,2940,3137
['09/11/2010 09:00:56'],50-54,2506,2805
['09/11/2010 09:00:56'],55-59,2210,2493
['09/11/2010 09:00:56'],60-64,2078,2047
['09/11/2010 09:00:56'],65-69,1430,1466
['09/11/2010 09:00:56'],70-74,934,971
['09/11/2010 09:00:56'],75-79,684,850
['09/11/2010 09:00:56'],80-84,396,614
['09/11/2010 09:00:56'],85-89,191,387
['09/11/2010 09:00:56'],90-94,49,164
['09/11/2010 09:00:56'],95-99,17,66
['09/11/2010 09:00:56'],100-104,0,8
['16/08/10 6:00'],0-4,2372,2168
['16/08/10 6:00'],5-9,2315,2194
['16/08/10 6:00'],10-14,2145,2039
['16/08/10 6:00'],15-19,1947,1842
['16/08/10 6:00'],20-24,2307,2315
['16/08/10 6:00'],25-29,3140,3411
['16/08/10 6:00'],30-34,4068,4340
['16/08/10 6:00'],35-39,4102,4123
['16/08/10 6:00'],40-44,3508,3565
['16/08/10 6:00'],45-49,2959,3153
['16/08/10 6:00'],50-54,2528,2813
['16/08/10 6:00'],55-59,2224,2494
['16/08/10 6:00'],60-64,2080,2056
['16/08/10 6:00'],65-69,1441,1466
['16/08/10 6:00'],70-74,936,970
['16/08/10 6:00'],75-79,690,850
['16/08/10 6:00'],80-84,401,619
['16/08/10 6:00'],85-89,194,388
['16/08/10 6:00'],90-94,51,163
['16/08/10 6:00'],95-99,19,69
['16/08/10 6:00'],100-104,0,8
['2/08/10 6:00'],0-4,2362,2156
['2/08/10 6:00'],5-9,2306,2191
['2/08/10 6:00'],10-14,2140,2036
['2/08/10 6:00'],15-19,1939,1840
['2/08/10 6:00'],20-24,2306,2305
['2/08/10 6:00'],25-29,3123,3397
['2/08/10 6:00'],30-34,4052,4313
['2/08/10 6:00'],35-39,4089,4109
['2/08/10 6:00'],40-44,3500,3558
['2/08/10 6:00'],45-49,2956,3149
['2/08/10 6:00'],50-54,2523,2808
['2/08/10 6:00'],55-59,2222,2492
['2/08/10 6:00'],60-64,2079,2053
['2/08/10 6:00'],65-69,1439,1464
['2/08/10 6:00'],70-74,936,969
['2/08/10 6:00'],75-79,689,850
['2/08/10 6:00'],80-84,401,619
['2/08/10 6:00'],85-89,194,389
['2/08/10 6:00'],90-94,51,163
['2/08/10 6:00'],95-99,19,70
['2/08/10 6:00'],100-104,0,8
['19/07/10 6:00'],0-4,2323,2133
['19/07/10 6:00'],5-9,2318,2198
['19/07/10 6:00'],10-14,2144,2036
['19/07/10 6:00'],15-19,1941,1846
['19/07/10 6:00'],20-24,2316,2312
['19/07/10 6:00'],25-29,3139,3411
['19/07/10 6:00'],30-34,4073,4330
['19/07/10 6:00'],35-39,4089,4115
['19/07/10 6:00'],40-44,3504,3572
['19/07/10 6:00'],45-49,2965,3154
['19/07/10 6:00'],50-54,2526,2811
['19/07/10 6:00'],55-59,2222,2494
['19/07/10 6:00'],60-64,2081,2056
['19/07/10 6:00'],65-69,1439,1464
['19/07/10 6:00'],70-74,939,973
['19/07/10 6:00'],75-79,692,850
['19/07/10 6:00'],80-84,400,616
['19/07/10 6:00'],85-89,198,394
['19/07/10 6:00'],90-94,51,164
['19/07/10 6:00'],95-99,19,71
['19/07/10 6:00'],100-104,0,9
['5/07/10 6:00'],0-4,2307,2123
['5/07/10 6:00'],5-9,2316,2196
['5/07/10 6:00'],10-14,2142,2036
['5/07/10 6:00'],15-19,1941,1845
['5/07/10 6:00'],20-24,2316,2313
['5/07/10 6:00'],25-29,3132,3411
['5/07/10 6:00'],30-34,4067,4329
['5/07/10 6:00'],35-39,4074,4105
['5/07/10 6:00'],40-44,3507,3572
['5/07/10 6:00'],45-49,2964,3153
['5/07/10 6:00'],50-54,2526,2809
['5/07/10 6:00'],55-59,2226,2494
['5/07/10 6:00'],60-64,2081,2052
['5/07/10 6:00'],65-69,1441,1461
['5/07/10 6:00'],70-74,940,973
['5/07/10 6:00'],75-79,690,852
['5/07/10 6:00'],80-84,400,615
['5/07/10 6:00'],85-89,198,394
['5/07/10 6:00'],90-94,52,165
['5/07/10 6:00'],95-99,18,69
['5/07/10 6:00'],100-104,0,9
['21/06/10 6:00'],0-4,2297,2118
['21/06/10 6:00'],5-9,2318,2201
['21/06/10 6:00'],10-14,2140,2034
['21/06/10 6:00'],15-19,1939,1843
['21/06/10 6:00'],20-24,2319,2306
['21/06/10 6:00'],25-29,3132,3408
['21/06/10 6:00'],30-34,4064,4321
['21/06/10 6:00'],35-39,4062,4106
['21/06/10 6:00'],40-44,3501,3571
['21/06/10 6:00'],45-49,2957,3154
['21/06/10 6:00'],50-54,2523,2803
['21/06/10 6:00'],55-59,2225,2492
['21/06/10 6:00'],60-64,2085,2052
['21/06/10 6:00'],65-69,1440,1460
['21/06/10 6:00'],70-74,940,973
['21/06/10 6:00'],75-79,690,853
['21/06/10 6:00'],80-84,400,617
['21/06/10 6:00'],85-89,198,392
['21/06/10 6:00'],90-94,52,165
['21/06/10 6:00'],95-99,18,69
['21/06/10 6:00'],100-104,0,9
['7/06/10 6:00'],0-4,2254,2088
['7/06/10 6:00'],5-9,2322,2205
['7/06/10 6:00'],10-14,2143,2033
['7/06/10 6:00'],15-19,1936,1842
['7/06/10 6:00'],20-24,2311,2303
['7/06/10 6:00'],25-29,3131,3412
['7/06/10 6:00'],30-34,4061,4307
['7/06/10 6:00'],35-39,4056,4103
['7/06/10 6:00'],40-44,3495,3571
['7/06/10 6:00'],45-49,2960,3148
['7/06/10 6:00'],50-54,2525,2801
['7/06/10 6:00'],55-59,2227,2487
['7/06/10 6:00'],60-64,2084,2053
['7/06/10 6:00'],65-69,1440,1458
['7/06/10 6:00'],70-74,941,974
['7/06/10 6:00'],75-79,691,855
['7/06/10 6:00'],80-84,401,618
['7/06/10 6:00'],85-89,199,396
['7/06/10 6:00'],90-94,52,166
['7/06/10 6:00'],95-99,18,69
['7/06/10 6:00'],100-104,0,9
['24/05/10 6:00'],0-4,2228,2064
['24/05/10 6:00'],5-9,2334,2211
['24/05/10 6:00'],10-14,2145,2036
['24/05/10 6:00'],15-19,1937,1845
['24/05/10 6:00'],20-24,2307,2293
['24/05/10 6:00'],25-29,3136,3417
['24/05/10 6:00'],30-34,4062,4327
['24/05/10 6:00'],35-39,4066,4116
['24/05/10 6:00'],40-44,3503,3571
['24/05/10 6:00'],45-49,2968,3142
['24/05/10 6:00'],50-54,2519,2800
['24/05/10 6:00'],55-59,2225,2487
['24/05/10 6:00'],60-64,2086,2052
['24/05/10 6:00'],65-69,1438,1457
['24/05/10 6:00'],70-74,942,976
['24/05/10 6:00'],75-79,692,854
['24/05/10 6:00'],80-84,400,618
['24/05/10 6:00'],85-89,201,399
['24/05/10 6:00'],90-94,53,167
['24/05/10 6:00'],95-99,18,69
['24/05/10 6:00'],100-104,0,9
['10/05/10 6:00'],0-4,2213,2056
['10/05/10 6:00'],5-9,2325,2210
['10/05/10 6:00'],10-14,2143,2041
['10/05/10 6:00'],15-19,1937,1840
['10/05/10 6:00'],20-24,2304,2298
['10/05/10 6:00'],25-29,3137,3413
['10/05/10 6:00'],30-34,4059,4318
['10/05/10 6:00'],35-39,4062,4107
['10/05/10 6:00'],40-44,3497,3576
['10/05/10 6:00'],45-49,2965,3144
['10/05/10 6:00'],50-54,2523,2807
['10/05/10 6:00'],55-59,2224,2484
['10/05/10 6:00'],60-64,2086,2054
['10/05/10 6:00'],65-69,1441,1459
['10/05/10 6:00'],70-74,945,976
['10/05/10 6:00'],75-79,693,856
['10/05/10 6:00'],80-84,403,618
['10/05/10 6:00'],85-89,204,399
['10/05/10 6:00'],90-94,53,168
['10/05/10 6:00'],95-99,18,71
['10/05/10 6:00'],100-104,0,9
['26/04/10 6:00'],0-4,2211,2060
['26/04/10 6:00'],5-9,2318,2212
['26/04/10 6:00'],10-14,2140,2038
['26/04/10 6:00'],15-19,1939,1839
['26/04/10 6:00'],20-24,2302,2307
['26/04/10 6:00'],25-29,3144,3422
['26/04/10 6:00'],30-34,4071,4341
['26/04/10 6:00'],35-39,4081,4108
['26/04/10 6:00'],40-44,3496,3577
['26/04/10 6:00'],45-49,2963,3151
['26/04/10 6:00'],50-54,2524,2809
['26/04/10 6:00'],55-59,2226,2480
['26/04/10 6:00'],60-64,2088,2054
['26/04/10 6:00'],65-69,1441,1459
['26/04/10 6:00'],70-74,947,977
['26/04/10 6:00'],75-79,694,857
['26/04/10 6:00'],80-84,405,619
['26/04/10 6:00'],85-89,204,404
['26/04/10 6:00'],90-94,53,169
['26/04/10 6:00'],95-99,17,69
['26/04/10 6:00'],100-104,0,9
['12/04/10 6:00'],0-4,2153,2008
['12/04/10 6:00'],5-9,2293,2194
['12/04/10 6:00'],10-14,2118,2023
['12/04/10 6:00'],15-19,1930,1833
['12/04/10 6:00'],20-24,2290,2297
['12/04/10 6:00'],25-29,3123,3401
['12/04/10 6:00'],30-34,4047,4305
['12/04/10 6:00'],35-39,4055,4080
['12/04/10 6:00'],40-44,3475,3547
['12/04/10 6:00'],45-49,2955,3145
['12/04/10 6:00'],50-54,2517,2806
['12/04/10 6:00'],55-59,2227,2481
['12/04/10 6:00'],60-64,2086,2053
['12/04/10 6:00'],65-69,1441,1460
['12/04/10 6:00'],70-74,948,976
['12/04/10 6:00'],75-79,693,857
['12/04/10 6:00'],80-84,406,620
['12/04/10 6:00'],85-89,204,402
['12/04/10 6:00'],90-94,56,170
['12/04/10 6:00'],95-99,18,69
['12/04/10 6:00'],100-104,0,10
['29/03/10 6:00'],0-4,2137,2000
['29/03/10 6:00'],5-9,2289,2193
['29/03/10 6:00'],10-14,2116,2023
['29/03/10 6:00'],15-19,1926,1839
['29/03/10 6:00'],20-24,2295,2306
['29/03/10 6:00'],25-29,3129,3421
['29/03/10 6:00'],30-34,4055,4311
['29/03/10 6:00'],35-39,4056,4081
['29/03/10 6:00'],40-44,3470,3537
['29/03/10 6:00'],45-49,2958,3146
['29/03/10 6:00'],50-54,2516,2807
['29/03/10 6:00'],55-59,2227,2480
['29/03/10 6:00'],60-64,2091,2052
['29/03/10 6:00'],65-69,1441,1460
['29/03/10 6:00'],70-74,948,978
['29/03/10 6:00'],75-79,693,859
['29/03/10 6:00'],80-84,406,622
['29/03/10 6:00'],85-89,204,403
['29/03/10 6:00'],90-94,57,173
['29/03/10 6:00'],95-99,18,70
['29/03/10 6:00'],100-104,0,10
['15/03/10 6:00'],0-4,2088,1946
['15/03/10 6:00'],5-9,2283,2185
['15/03/10 6:00'],10-14,2112,2018
['15/03/10 6:00'],15-19,1924,1834
['15/03/10 6:00'],20-24,2288,2294
['15/03/10 6:00'],25-29,3114,3401
['15/03/10 6:00'],30-34,4029,4290
['15/03/10 6:00'],35-39,4042,4069
['15/03/10 6:00'],40-44,3465,3529
['15/03/10 6:00'],45-49,2952,3139
['15/03/10 6:00'],50-54,2514,2804
['15/03/10 6:00'],55-59,2224,2478
['15/03/10 6:00'],60-64,2089,2048
['15/03/10 6:00'],65-69,1441,1460
['15/03/10 6:00'],70-74,948,976
['15/03/10 6:00'],75-79,692,860
['15/03/10 6:00'],80-84,406,622
['15/03/10 6:00'],85-89,206,409
['15/03/10 6:00'],90-94,57,174
['15/03/10 6:00'],95-99,18,70
['15/03/10 6:00'],100-104,0,10
['1/03/10 6:00'],0-4,2086,1948
['1/03/10 6:00'],5-9,2285,2189
['1/03/10 6:00'],10-14,2110,2012
['1/03/10 6:00'],15-19,1921,1834
['1/03/10 6:00'],20-24,2293,2302
['1/03/10 6:00'],25-29,3116,3401
['1/03/10 6:00'],30-34,4047,4300
['1/03/10 6:00'],35-39,4049,4072
['1/03/10 6:00'],40-44,3472,3527
['1/03/10 6:00'],45-49,2957,3142
['1/03/10 6:00'],50-54,2519,2804
['1/03/10 6:00'],55-59,2221,2479
['1/03/10 6:00'],60-64,2090,2050
['1/03/10 6:00'],65-69,1439,1462
['1/03/10 6:00'],70-74,951,972
['1/03/10 6:00'],75-79,692,859
['1/03/10 6:00'],80-84,404,625
['1/03/10 6:00'],85-89,207,415
['1/03/10 6:00'],90-94,57,175
['1/03/10 6:00'],95-99,18,71
['1/03/10 6:00'],100-104,0,11
['15/02/10 6:00'],0-4,2039,1904
['15/02/10 6:00'],5-9,2277,2182
['15/02/10 6:00'],10-14,2107,2011
['15/02/10 6:00'],15-19,1923,1831
['15/02/10 6:00'],20-24,2294,2302
['15/02/10 6:00'],25-29,3105,3394
['15/02/10 6:00'],30-34,4040,4293
['15/02/10 6:00'],35-39,4048,4061
['15/02/10 6:00'],40-44,3462,3523
['15/02/10 6:00'],45-49,2957,3143
['15/02/10 6:00'],50-54,2519,2804
['15/02/10 6:00'],55-59,2223,2480
['15/02/10 6:00'],60-64,2091,2051
['15/02/10 6:00'],65-69,1440,1461
['15/02/10 6:00'],70-74,951,971
['15/02/10 6:00'],75-79,693,857
['15/02/10 6:00'],80-84,403,623
['15/02/10 6:00'],85-89,208,416
['15/02/10 6:00'],90-94,61,174
['15/02/10 6:00'],95-99,18,70
['15/02/10 6:00'],100-104,0,11
['1/02/10 6:00'],0-4,2010,1867
['1/02/10 6:00'],5-9,2279,2193
['1/02/10 6:00'],10-14,2106,2014
['1/02/10 6:00'],15-19,1931,1832
['1/02/10 6:00'],20-24,2300,2306
['1/02/10 6:00'],25-29,3121,3418
['1/02/10 6:00'],30-34,4069,4304
['1/02/10 6:00'],35-39,4068,4086
['1/02/10 6:00'],40-44,3478,3541
['1/02/10 6:00'],45-49,2972,3156
['1/02/10 6:00'],50-54,2523,2808
['1/02/10 6:00'],55-59,2227,2485
['1/02/10 6:00'],60-64,2099,2055
['1/02/10 6:00'],65-69,1444,1468
['1/02/10 6:00'],70-74,955,978
['1/02/10 6:00'],75-79,700,859
['1/02/10 6:00'],80-84,404,627
['1/02/10 6:00'],85-89,210,418
['1/02/10 6:00'],90-94,61,175
['1/02/10 6:00'],95-99,18,73
['1/02/10 6:00'],100-104,0,12
['18/01/10 6:00'],0-4,2007,1856
['18/01/10 6:00'],5-9,2274,2191
['18/01/10 6:00'],10-14,2120,2021
['18/01/10 6:00'],15-19,1934,1837
['18/01/10 6:00'],20-24,2304,2293
['18/01/10 6:00'],25-29,3121,3409
['18/01/10 6:00'],30-34,4067,4305
['18/01/10 6:00'],35-39,4088,4107
['18/01/10 6:00'],40-44,3500,3560
['18/01/10 6:00'],45-49,2984,3170
['18/01/10 6:00'],50-54,2536,2816
['18/01/10 6:00'],55-59,2237,2498
['18/01/10 6:00'],60-64,2106,2063
['18/01/10 6:00'],65-69,1450,1472
['18/01/10 6:00'],70-74,957,982
['18/01/10 6:00'],75-79,700,860
['18/01/10 6:00'],80-84,404,627
['18/01/10 6:00'],85-89,210,417
['18/01/10 6:00'],90-94,61,175
['18/01/10 6:00'],95-99,18,74
['18/01/10 6:00'],100-104,0,12
['4/01/10 6:00'],0-4,1952,1815
['4/01/10 6:00'],5-9,2270,2190
['4/01/10 6:00'],10-14,2115,2017
['4/01/10 6:00'],15-19,1935,1834
['4/01/10 6:00'],20-24,2294,2280
['4/01/10 6:00'],25-29,3101,3387
['4/01/10 6:00'],30-34,4052,4282
['4/01/10 6:00'],35-39,4071,4086
['4/01/10 6:00'],40-44,3494,3546
['4/01/10 6:00'],45-49,2975,3166
['4/01/10 6:00'],50-54,2533,2816
['4/01/10 6:00'],55-59,2235,2495
['4/01/10 6:00'],60-64,2110,2059
['4/01/10 6:00'],65-69,1449,1472
['4/01/10 6:00'],70-74,955,981
['4/01/10 6:00'],75-79,700,860
['4/01/10 6:00'],80-84,406,627
['4/01/10 6:00'],85-89,210,418
['4/01/10 6:00'],90-94,61,178
['4/01/10 6:00'],95-99,18,75
['4/01/10 6:00'],100-104,1,13
['21/12/09 6:00'],0-4,2430,2241
['21/12/09 6:00'],5-9,2233,2200
['21/12/09 6:00'],10-14,2060,1945
['21/12/09 6:00'],15-19,1984,1859
['21/12/09 6:00'],20-24,2397,2465
['21/12/09 6:00'],25-29,3293,3540
['21/12/09 6:00'],30-34,4198,4498
['21/12/09 6:00'],35-39,3930,3912
['21/12/09 6:00'],40-44,3423,3462
['21/12/09 6:00'],45-49,2883,3026
['21/12/09 6:00'],50-54,2450,2754
['21/12/09 6:00'],55-59,2230,2450
['21/12/09 6:00'],60-64,2042,2014
['21/12/09 6:00'],65-69,1338,1351
['21/12/09 6:00'],70-74,857,930
['21/12/09 6:00'],75-79,628,789
['21/12/09 6:00'],80-84,356,598
['21/12/09 6:00'],85-89,186,379
['21/12/09 6:00'],90-94,47,144
['21/12/09 6:00'],95-99,10,52
['21/12/09 6:00'],100-104,1,11
['7/12/09 6:00'],0-4,2423,2240
['7/12/09 6:00'],5-9,2232,2202
['7/12/09 6:00'],10-14,2069,1952
['7/12/09 6:00'],15-19,1989,1865
['7/12/09 6:00'],20-24,2406,2470
['7/12/09 6:00'],25-29,3308,3546
['7/12/09 6:00'],30-34,4200,4488
['7/12/09 6:00'],35-39,3937,3923
['7/12/09 6:00'],40-44,3436,3467
['7/12/09 6:00'],45-49,2890,3028
['7/12/09 6:00'],50-54,2451,2761
['7/12/09 6:00'],55-59,2234,2448
['7/12/09 6:00'],60-64,2042,2014
['7/12/09 6:00'],65-69,1338,1349
['7/12/09 6:00'],70-74,857,932
['7/12/09 6:00'],75-79,630,788
['7/12/09 6:00'],80-84,355,596
['7/12/09 6:00'],85-89,185,381
['7/12/09 6:00'],90-94,47,145
['7/12/09 6:00'],95-99,10,51
['7/12/09 6:00'],100-104,1,11
['23/11/09 6:00'],0-4,2378,2206
['23/11/09 6:00'],5-9,2228,2198
['23/11/09 6:00'],10-14,2064,1949
['23/11/09 6:00'],15-19,1987,1857
['23/11/09 6:00'],20-24,2396,2466
['23/11/09 6:00'],25-29,3292,3529
['23/11/09 6:00'],30-34,4181,4468
['23/11/09 6:00'],35-39,3935,3912
['23/11/09 6:00'],40-44,3427,3460
['23/11/09 6:00'],45-49,2880,3018
['23/11/09 6:00'],50-54,2449,2758
['23/11/09 6:00'],55-59,2229,2444
['23/11/09 6:00'],60-64,2045,2012
['23/11/09 6:00'],65-69,1336,1349
['23/11/09 6:00'],70-74,859,934
['23/11/09 6:00'],75-79,630,787
['23/11/09 6:00'],80-84,357,597
['23/11/09 6:00'],85-89,187,381
['23/11/09 6:00'],90-94,49,144
['23/11/09 6:00'],95-99,11,52
['23/11/09 6:00'],100-104,1,11
['9/11/09 6:00'],0-4,2382,2218
['9/11/09 6:00'],5-9,2229,2211
['9/11/09 6:00'],10-14,2068,1952
['9/11/09 6:00'],15-19,1990,1860
['9/11/09 6:00'],20-24,2402,2471
['9/11/09 6:00'],25-29,3293,3534
['9/11/09 6:00'],30-34,4192,4490
['9/11/09 6:00'],35-39,3946,3940
['9/11/09 6:00'],40-44,3437,3465
['9/11/09 6:00'],45-49,2883,3015
['9/11/09 6:00'],50-54,2450,2756
['9/11/09 6:00'],55-59,2230,2444
['9/11/09 6:00'],60-64,2047,2014
['9/11/09 6:00'],65-69,1339,1351
['9/11/09 6:00'],70-74,861,934
['9/11/09 6:00'],75-79,632,791
['9/11/09 6:00'],80-84,359,597
['9/11/09 6:00'],85-89,188,382
['9/11/09 6:00'],90-94,49,145
['9/11/09 6:00'],95-99,11,51
['9/11/09 6:00'],100-104,1,11
['26/10/09 6:00'],0-4,2342,2183
['26/10/09 6:00'],5-9,2228,2206
['26/10/09 6:00'],10-14,2062,1950
['26/10/09 6:00'],15-19,1989,1859
['26/10/09 6:00'],20-24,2392,2463
['26/10/09 6:00'],25-29,3278,3502
['26/10/09 6:00'],30-34,4175,4475
['26/10/09 6:00'],35-39,3933,3933
['26/10/09 6:00'],40-44,3429,3453
['26/10/09 6:00'],45-49,2882,3010
['26/10/09 6:00'],50-54,2447,2751
['26/10/09 6:00'],55-59,2231,2442
['26/10/09 6:00'],60-64,2049,2014
['26/10/09 6:00'],65-69,1343,1348
['26/10/09 6:00'],70-74,860,933
['26/10/09 6:00'],75-79,633,793
['26/10/09 6:00'],80-84,360,597
['26/10/09 6:00'],85-89,189,381
['26/10/09 6:00'],90-94,49,145
['26/10/09 6:00'],95-99,11,52
['26/10/09 6:00'],100-104,1,11
['12/10/09 6:00'],0-4,2345,2182
['12/10/09 6:00'],5-9,2231,2212
['12/10/09 6:00'],10-14,2064,1955
['12/10/09 6:00'],15-19,1991,1857
['12/10/09 6:00'],20-24,2386,2464
['12/10/09 6:00'],25-29,3277,3498
['12/10/09 6:00'],30-34,4176,4493
['12/10/09 6:00'],35-39,3942,3936
['12/10/09 6:00'],40-44,3439,3460
['12/10/09 6:00'],45-49,2885,3014
['12/10/09 6:00'],50-54,2443,2755
['12/10/09 6:00'],55-59,2232,2442
['12/10/09 6:00'],60-64,2052,2014
['12/10/09 6:00'],65-69,1343,1349
['12/10/09 6:00'],70-74,860,931
['12/10/09 6:00'],75-79,633,793
['12/10/09 6:00'],80-84,359,596
['12/10/09 6:00'],85-89,190,381
['12/10/09 6:00'],90-94,49,146
['12/10/09 6:00'],95-99,11,52
['12/10/09 6:00'],100-104,1,11
['28/09/09 6:00'],0-4,2285,2140
['28/09/09 6:00'],5-9,2226,2208
['28/09/09 6:00'],10-14,2060,1950
['28/09/09 6:00'],15-19,1985,1851
['28/09/09 6:00'],20-24,2374,2447
['28/09/09 6:00'],25-29,3252,3475
['28/09/09 6:00'],30-34,4159,4469
['28/09/09 6:00'],35-39,3924,3922
['28/09/09 6:00'],40-44,3429,3449
['28/09/09 6:00'],45-49,2886,3016
['28/09/09 6:00'],50-54,2442,2752
['28/09/09 6:00'],55-59,2233,2442
['28/09/09 6:00'],60-64,2054,2013
['28/09/09 6:00'],65-69,1342,1347
['28/09/09 6:00'],70-74,861,929
['28/09/09 6:00'],75-79,634,793
['28/09/09 6:00'],80-84,362,599
['28/09/09 6:00'],85-89,190,383
['28/09/09 6:00'],90-94,49,147
['28/09/09 6:00'],95-99,12,53
['28/09/09 6:00'],100-104,1,11
['14/09/09 6:00'],0-4,2287,2131
['14/09/09 6:00'],5-9,2226,2209
['14/09/09 6:00'],10-14,2066,1949
['14/09/09 6:00'],15-19,1987,1855
['14/09/09 6:00'],20-24,2383,2444
['14/09/09 6:00'],25-29,3262,3485
['14/09/09 6:00'],30-34,4187,4475
['14/09/09 6:00'],35-39,3943,3925
['14/09/09 6:00'],40-44,3446,3465
['14/09/09 6:00'],45-49,2896,3019
['14/09/09 6:00'],50-54,2447,2761
['14/09/09 6:00'],55-59,2240,2449
['14/09/09 6:00'],60-64,2058,2017
['14/09/09 6:00'],65-69,1344,1350
['14/09/09 6:00'],70-74,862,932
['14/09/09 6:00'],75-79,635,793
['14/09/09 6:00'],80-84,363,597
['14/09/09 6:00'],85-89,189,383
['14/09/09 6:00'],90-94,49,149
['14/09/09 6:00'],95-99,12,54
['14/09/09 6:00'],100-104,1,11
['31/08/09 6:00'],0-4,2229,2080
['31/08/09 6:00'],5-9,2218,2206
['31/08/09 6:00'],10-14,2062,1944
['31/08/09 6:00'],15-19,1978,1854
['31/08/09 6:00'],20-24,2386,2434
['31/08/09 6:00'],25-29,3251,3468
['31/08/09 6:00'],30-34,4171,4453
['31/08/09 6:00'],35-39,3939,3914
['31/08/09 6:00'],40-44,3433,3459
['31/08/09 6:00'],45-49,2893,3017
['31/08/09 6:00'],50-54,2444,2766
['31/08/09 6:00'],55-59,2244,2450
['31/08/09 6:00'],60-64,2058,2017
['31/08/09 6:00'],65-69,1344,1351
['31/08/09 6:00'],70-74,863,934
['31/08/09 6:00'],75-79,637,793
['31/08/09 6:00'],80-84,363,600
['31/08/09 6:00'],85-89,189,381
['31/08/09 6:00'],90-94,50,148
['31/08/09 6:00'],95-99,12,54
['31/08/09 6:00'],100-104,1,12
['17/08/09 6:00'],0-4,2220,2069
['17/08/09 6:00'],5-9,2213,2201
['17/08/09 6:00'],10-14,2059,1939
['17/08/09 6:00'],15-19,1968,1845
['17/08/09 6:00'],20-24,2384,2423
['17/08/09 6:00'],25-29,3238,3452
['17/08/09 6:00'],30-34,4154,4434
['17/08/09 6:00'],35-39,3925,3897
['17/08/09 6:00'],40-44,3430,3453
['17/08/09 6:00'],45-49,2887,3013
['17/08/09 6:00'],50-54,2441,2758
['17/08/09 6:00'],55-59,2243,2449
['17/08/09 6:00'],60-64,2059,2015
['17/08/09 6:00'],65-69,1342,1351
['17/08/09 6:00'],70-74,863,934
['17/08/09 6:00'],75-79,637,793
['17/08/09 6:00'],80-84,363,599
['17/08/09 6:00'],85-89,189,379
['17/08/09 6:00'],90-94,50,148
['17/08/09 6:00'],95-99,12,54
['17/08/09 6:00'],100-104,1,12
['3/08/09 6:00'],0-4,2196,2032
['3/08/09 6:00'],5-9,2209,2194
['3/08/09 6:00'],10-14,2055,1931
['3/08/09 6:00'],15-19,1962,1838
['3/08/09 6:00'],20-24,2377,2415
['3/08/09 6:00'],25-29,3217,3440
['3/08/09 6:00'],30-34,4131,4418
['3/08/09 6:00'],35-39,3907,3884
['3/08/09 6:00'],40-44,3419,3441
['3/08/09 6:00'],45-49,2880,3006
['3/08/09 6:00'],50-54,2439,2753
['3/08/09 6:00'],55-59,2242,2447
['3/08/09 6:00'],60-64,2061,2015
['3/08/09 6:00'],65-69,1341,1351
['3/08/09 6:00'],70-74,862,933
['3/08/09 6:00'],75-79,637,793
['3/08/09 6:00'],80-84,364,598
['3/08/09 6:00'],85-89,189,378
['3/08/09 6:00'],90-94,50,148
['3/08/09 6:00'],95-99,12,54
['3/08/09 6:00'],100-104,1,12
['20/07/09 6:00'],0-4,2177,2005
['20/07/09 6:00'],5-9,2208,2190
['20/07/09 6:00'],10-14,2049,1933
['20/07/09 6:00'],15-19,1958,1835
['20/07/09 6:00'],20-24,2370,2425
['20/07/09 6:00'],25-29,3227,3449
['20/07/09 6:00'],30-34,4149,4409
['20/07/09 6:00'],35-39,3916,3884
['20/07/09 6:00'],40-44,3420,3437
['20/07/09 6:00'],45-49,2884,3008
['20/07/09 6:00'],50-54,2442,2758
['20/07/09 6:00'],55-59,2245,2448
['20/07/09 6:00'],60-64,2063,2020
['20/07/09 6:00'],65-69,1343,1353
['20/07/09 6:00'],70-74,863,932
['20/07/09 6:00'],75-79,638,793
['20/07/09 6:00'],80-84,365,598
['20/07/09 6:00'],85-89,190,380
['20/07/09 6:00'],90-94,50,153
['20/07/09 6:00'],95-99,12,58
['20/07/09 6:00'],100-104,1,12
['6/07/09 6:00'],0-4,2170,1993
['6/07/09 6:00'],5-9,2200,2188
['6/07/09 6:00'],10-14,2039,1930
