Fecha,Rango edad,Número de hombres,Número mujeres
['01/10/2017 07:00:01'],45-49,3803,3835
['01/10/2017 07:00:01'],50-54,3112,3326
['01/10/2017 07:00:01'],55-59,2527,2864
['01/10/2017 07:00:01'],60-64,2088,2477
['01/10/2017 07:00:01'],65-69,2108,2348
['01/10/2017 07:00:01'],70-74,1575,1679
['01/10/2017 07:00:01'],75-79,880,978
['01/10/2017 07:00:01'],80-84,611,800
['01/10/2017 07:00:01'],85-89,345,565
['01/10/2017 07:00:01'],90-94,111,299
['01/10/2017 07:00:01'],95-99,21,90
['01/10/2017 07:00:01'],100-104,2,11
['15/09/2017 07:00:01'],0-4,2479,2370
['15/09/2017 07:00:01'],5-9,2882,2715
['15/09/2017 07:00:01'],10-14,2639,2361
['15/09/2017 07:00:01'],15-19,2433,2221
['15/09/2017 07:00:01'],20-24,2169,1998
['15/09/2017 07:00:01'],25-29,2357,2548
['15/09/2017 07:00:01'],30-34,2971,3213
['15/09/2017 07:00:01'],35-39,3976,4274
['15/09/2017 07:00:01'],40-44,4443,4583
['15/09/2017 07:00:01'],45-49,3806,3843
['15/09/2017 07:00:01'],50-54,3110,3321
['15/09/2017 07:00:01'],55-59,2527,2867
['15/09/2017 07:00:01'],60-64,2094,2475
['15/09/2017 07:00:01'],65-69,2109,2351
['15/09/2017 07:00:01'],70-74,1579,1676
['15/09/2017 07:00:01'],75-79,884,981
['15/09/2017 07:00:01'],80-84,613,800
['15/09/2017 07:00:01'],85-89,348,564
['15/09/2017 07:00:01'],90-94,113,303
['15/09/2017 07:00:01'],95-99,22,91
['15/09/2017 07:00:01'],100-104,2,11
['01/09/2017 07:00:01'],0-4,2447,2346
['01/09/2017 07:00:01'],5-9,2871,2697
['01/09/2017 07:00:01'],10-14,2629,2354
['01/09/2017 07:00:01'],15-19,2422,2211
['01/09/2017 07:00:01'],20-24,2156,1988
['01/09/2017 07:00:01'],25-29,2349,2518
['01/09/2017 07:00:01'],30-34,2949,3184
['01/09/2017 07:00:01'],35-39,3951,4246
['01/09/2017 07:00:01'],40-44,4432,4565
['01/09/2017 07:00:01'],45-49,3794,3830
['01/09/2017 07:00:01'],50-54,3102,3316
['01/09/2017 07:00:01'],55-59,2525,2865
['01/09/2017 07:00:01'],60-64,2093,2472
['01/09/2017 07:00:01'],65-69,2111,2349
['01/09/2017 07:00:01'],70-74,1580,1676
['01/09/2017 07:00:01'],75-79,887,979
['01/09/2017 07:00:01'],80-84,614,800
['01/09/2017 07:00:01'],85-89,348,564
['01/09/2017 07:00:01'],90-94,114,305
['01/09/2017 07:00:01'],95-99,22,92
['01/09/2017 07:00:01'],100-104,2,11
['15/08/2017 07:00:01'],0-4,2418,2322
['15/08/2017 07:00:01'],5-9,2872,2689
['15/08/2017 07:00:01'],10-14,2634,2352
